ANHO_ING,sexo,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,M,DIPGLPD,23,2.0,1.0,,,0.08695652173913043,0.043478260869565216,,,DIPLOMADO
2007,M,DIPGS,16,,,,,,,,,DIPLOMADO
2007,M,DIPIEDF,25,4.0,1.0,,,0.16,0.04,,,DIPLOMADO
2007,M,DIPLAS,8,,,,,,,,,DIPLOMADO
2007,M,DIPMG,15,,,,,,,,,DIPLOMADO
2007,M,DIPNICI,71,,,,,,,,,DIPLOMADO
2007,M,DIPPINF,12,,,,,,,,,DIPLOMADO
2007,M,DIPPMM,2,,,,,,,,,DIPLOMADO
2007,M,DIPPN,8,,,,,,,,,DIPLOMADO
2007,M,DIPSD,9,,,,,,,,,DIPLOMADO
2007,M,DIPSGV,25,,,,,,,,,DIPLOMADO
2007,M,DOCBIO,8,6.0,3.0,3.0,3.0,0.75,0.375,0.375,0.375,DOCTORADO
2007,M,DOCCSALIM,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,DOCTORADO
2007,M,DOCCSFIS,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,DOCCSING,21,20.0,16.0,14.0,9.0,0.9523809523809523,0.7619047619047619,0.6666666666666666,0.42857142857142855,DOCTORADO
2007,M,DOCCSMAT,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,DOCESTAM,13,13.0,10.0,8.0,7.0,1.0,0.7692307692307693,0.6153846153846154,0.5384615384615384,DOCTORADO
2007,M,DOCMICROBIO,3,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,DOCQUIM,5,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,ENF,14,11.0,10.0,10.0,9.0,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.6428571428571429,PREGRADO
2007,M,ICELEC,109,78.0,61.0,59.0,55.0,0.7155963302752294,0.5596330275229358,0.5412844036697247,0.5045871559633027,PREGRADO
2007,M,ICGEOG,31,12.0,11.0,10.0,9.0,0.3870967741935484,0.3548387096774194,0.3225806451612903,0.2903225806451613,PREGRADO
2007,M,ICIND,135,113.0,103.0,91.0,70.0,0.837037037037037,0.762962962962963,0.674074074074074,0.5185185185185185,PREGRADO
2007,M,ICINF,89,66.0,50.0,43.0,32.0,0.7415730337078652,0.5617977528089888,0.48314606741573035,0.3595505617977528,PREGRADO
2007,M,ICMEC,110,87.0,77.0,61.0,53.0,0.7909090909090909,0.7,0.5545454545454546,0.4818181818181818,PREGRADO
2007,M,ICMET,45,28.0,26.0,23.0,20.0,0.6222222222222222,0.5777777777777777,0.5111111111111111,0.4444444444444444,PREGRADO
2007,M,ICMIN,93,76.0,69.0,59.0,56.0,0.8172043010752689,0.7419354838709677,0.6344086021505376,0.6021505376344086,PREGRADO
2007,M,ICOBR,75,64.0,61.0,54.0,51.0,0.8533333333333334,0.8133333333333334,0.72,0.68,PREGRADO
2007,M,ICQUIM,44,37.0,37.0,32.0,32.0,0.8409090909090909,0.8409090909090909,0.7272727272727273,0.7272727272727273,PREGRADO
2007,M,IEAMB,13,10.0,10.0,9.0,5.0,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.38461538461538464,PREGRADO
2007,M,IECLIM,37,27.0,26.0,21.0,19.0,0.7297297297297297,0.7027027027027027,0.5675675675675675,0.5135135135135135,PREGRADO
2007,M,IEELEC,156,125.0,110.0,98.0,74.0,0.8012820512820513,0.7051282051282052,0.6282051282051282,0.47435897435897434,PREGRADO
2007,M,IEGEOM,50,34.0,31.0,23.0,21.0,0.68,0.62,0.46,0.42,PREGRADO
2007,M,IEIND,128,79.0,76.0,66.0,43.0,0.6171875,0.59375,0.515625,0.3359375,PREGRADO
2007,M,IEINF,67,49.0,43.0,40.0,31.0,0.7313432835820896,0.6417910447761194,0.5970149253731343,0.4626865671641791,PREGRADO
2007,M,IEMEC,117,92.0,82.0,75.0,58.0,0.7863247863247863,0.7008547008547008,0.6410256410256411,0.49572649572649574,PREGRADO
2007,M,IEMET,46,28.0,22.0,22.0,21.0,0.6086956521739131,0.4782608695652174,0.4782608695652174,0.45652173913043476,PREGRADO
2007,M,IEMIN,74,49.0,51.0,49.0,46.0,0.6621621621621622,0.6891891891891891,0.6621621621621622,0.6216216216216216,PREGRADO
2007,M,IEQUIM,32,24.0,22.0,19.0,15.0,0.75,0.6875,0.59375,0.46875,PREGRADO
2007,M,INGAGRO,18,15.0,15.0,14.0,14.0,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.7777777777777778,PREGRADO
2007,M,INGAL,8,6.0,5.0,5.0,5.0,0.75,0.625,0.625,0.625,PREGRADO
