ANHO_ING,sexo,CODIGO_CARRERA_x,SIES_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,F,MAGEDU,I71S1C221J2V1,13,13.0,1.0,2.0,4.0,1.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,MAGISTER
2007,F,MAGEDU,I71S1C550J2V1,32,23.0,13.0,6.0,1.0,0.71875,0.40625,0.1875,0.03125,MAGISTER
2007,F,MAGEF,I71S1C84J2V1,2,1.0,,2.0,2.0,0.5,,1.0,1.0,MAGISTER
2007,F,MAGEI,I71S1C225J2V1,1,,,,,,,,,MAGISTER
2007,F,MAGEII,I71S1C62J2V1,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,MAGISTER
2007,F,MAGFC,I71S1C96J2V1,1,1.0,1.0,,,1.0,1.0,,,MAGISTER
2007,F,MAGGP,I71S1C88J2V1,5,4.0,1.0,,,0.8,0.2,,,MAGISTER
2007,F,MAGGT,I71S1C226J2V1,5,5.0,5.0,3.0,1.0,1.0,1.0,0.6,0.2,MAGISTER
2007,F,MAGHI,I71S1C95J2V1,8,7.0,5.0,1.0,3.0,0.875,0.625,0.125,0.375,MAGISTER
2007,F,MAGII,I71S1C63J2V1,6,6.0,3.0,1.0,,1.0,0.5,0.16666666666666666,,MAGISTER
2007,F,MAGLG,I71S1C93J2V1,5,4.0,3.0,2.0,1.0,0.8,0.6,0.4,0.2,MAGISTER
2007,F,MAGLI,I71S1C94J2V1,8,7.0,5.0,2.0,4.0,0.875,0.625,0.25,0.5,MAGISTER
2007,F,MAGMA,I71S1C160J2V1,3,3.0,2.0,,2.0,1.0,0.6666666666666666,,0.6666666666666666,MAGISTER
2007,F,MAGMA,I71S1C161J2V1,36,25.0,4.0,5.0,1.0,0.6944444444444444,0.1111111111111111,0.1388888888888889,0.027777777777777776,MAGISTER
2007,F,MAGMA,I71S1C162J2V1,4,4.0,4.0,,,1.0,1.0,,,MAGISTER
2007,F,MAGPC,I71S1C168J2V1,6,6.0,1.0,2.0,2.0,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,MAGISTER
2007,F,MAGPE,I71S1C224J2V1,2,,1.0,1.0,,,0.5,0.5,,MAGISTER
2007,F,MAGPGT,I71S1C86J2V1,6,1.0,,,,0.16666666666666666,,,,MAGISTER
2007,F,MAGPS,I71S1C136J2V1,6,6.0,2.0,4.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,MAGISTER
2007,F,MAGQUI,I71S1C64J2V1,2,2.0,2.0,1.0,,1.0,1.0,0.5,,MAGISTER
2007,F,MAGTA,I71S1C65J2V1,2,2.0,,,,1.0,,,,MAGISTER
2007,F,MED,I71S1C67J1V1,28,28.0,25.0,25.0,22.0,1.0,0.8928571428571429,0.8928571428571429,0.7857142857142857,PREGRADO
2007,F,OBP,I71S1C68J1V1,37,32.0,30.0,30.0,29.0,0.8648648648648649,0.8108108108108109,0.8108108108108109,0.7837837837837838,PREGRADO
2007,F,PEDCAST,I71S1C40J1V1,23,21.0,20.0,21.0,21.0,0.9130434782608695,0.8695652173913043,0.9130434782608695,0.9130434782608695,PREGRADO
2007,F,PEDEGB,I71S1C146J1V1,32,30.0,29.0,29.0,28.0,0.9375,0.90625,0.90625,0.875,PREGRADO
2007,F,PEDFILOS,I71S1C45J1V1,15,14.0,13.0,12.0,12.0,0.9333333333333333,0.8666666666666667,0.8,0.8,PREGRADO
2007,F,PEDFISMAT,I71S1C41J1V1,19,15.0,15.0,13.0,13.0,0.7894736842105263,0.7894736842105263,0.6842105263157895,0.6842105263157895,PREGRADO
2007,F,PEDHS,I71S1C149J1V1,26,24.0,20.0,20.0,20.0,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.7692307692307693,PREGRADO
2007,F,PEDINGLES,I71S1C43J1V1,34,31.0,31.0,31.0,29.0,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.8529411764705882,PREGRADO
2007,F,PEDMATCOMP,I71S1C44J1V1,41,32.0,32.0,31.0,30.0,0.7804878048780488,0.7804878048780488,0.7560975609756098,0.7317073170731707,PREGRADO
2007,F,PEDQUIMBIO,I71S1C145J1V1,25,19.0,19.0,16.0,14.0,0.76,0.76,0.64,0.56,PREGRADO
2007,F,PEP,I71S1C138J2V1,20,19.0,8.0,4.0,3.0,0.95,0.4,0.2,0.15,PREGRADO
2007,F,PER,I71S1C137J2V1,9,7.0,6.0,1.0,,0.7777777777777778,0.6666666666666666,0.1111111111111111,,PREGRADO
2007,F,PER,I71S1C69J1V1,34,28.0,26.0,26.0,25.0,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7352941176470589,PREGRADO
2007,F,POSAG,I71S1C211J2V1,16,,,,,,,,,POSTITUTLO
2007,F,POSAM,I71S1C297J2V1,5,1.0,,,,0.2,,,,POSTITUTLO
2007,F,POSAN,I71S1C235J2V1,4,4.0,1.0,,,1.0,0.25,,,POSTITUTLO
2007,F,POSAPA,I71S1C238J2V1,3,2.0,1.0,,,0.6666666666666666,0.3333333333333333,,,POSTITUTLO
2007,F,POSCG,I71S1C234J2V1,4,4.0,4.0,,,1.0,1.0,,,POSTITUTLO
